ticker,date,open,close,high,low,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
COF,2017-06-20,81.63,81.22,81.75,81.09,2682345,,,,,,,
COF,2017-06-21,81.3,80.88,81.3,80.69,2575285,,,,,,,
COF,2017-06-22,80.73,80.39,80.83,80.07,2240116,,,,,,,
COF,2017-06-23,80.75,79.52,80.78,79.37,2771905,,,,,,,
COF,2017-06-26,79.89,80.59,80.84,79.62,2149023,,,,,,,
COF,2017-06-27,80.85,81.38,82.24,80.76,2045511,,,,,,,
COF,2017-06-28,82.12,82.98,83.52,82.053,3773097,,,,,,,
COF,2017-06-29,81.75,81.47,83,80.47,6009615,,,,,,,
COF,2017-06-30,82.02,82.62,83.18,81.59,2911991,,,,,,,
GOOGL,2017-01-03,800.62,808.01,811.435,796.89,1959033,,,,,,,
GOOGL,2017-01-04,809.89,807.77,813.43,804.11,1515339,,,,,,,
GOOGL,2017-01-05,807.5,813.02,813.74,805.92,1340535,,,,,,,
GOOGL,2017-01-06,814.99,825.21,828.96,811.5,2017097,,,,,,,
GOOGL,2017-01-09,826.37,827.18,830.43,821.62,1408924,,,,,,,
GOOGL,2017-01-10,827.07,826.01,829.41,823.14,1197442,,,,,,,
GOOGL,2017-01-11,826.62,829.86,829.9,821.47,1325394,,,,,,,
GOOGL,2017-01-12,828.38,829.53,830.38,821.01,1350308,,,,,,,
GOOGL,2017-01-13,831,830.94,834.65,829.52,1290182,,,,,,,
GOOGL,2017-01-17,830,827.46,830.18,823.2001,1440905,,,,,,,
GOOGL,2017-01-18,829.8,829.02,829.81,824.08,1027698,,,,,,,
GOOGL,2017-01-19,829,824.37,832.9999,823.96,1070454,,,,,,,
GOOGL,2017-01-20,829.09,828.17,829.24,824.6,1306183,,,,,,,
GOOGL,2017-01-23,831.61,844.43,845.5428,828.7,2457377,,,,,,,
GOOGL,2017-01-24,846.98,849.53,851.52,842.28,1688375,,,,,,,
GOOGL,2017-01-25,853.55,858.45,858.7936,849.74,1662148,,,,,,,
GOOGL,2017-01-26,859.05,856.98,861,850.5201,3493251,,,,,,,
GOOGL,2017-01-27,859,845.03,867,841.9,3752497,,,,,,,
GOOGL,2017-01-30,837.06,823.83,837.23,821.03,3516933,,,,,,,
GOOGL,2017-01-31,819.5,820.19,823.07,813.4,2020180,,,,,,,
GOOGL,2017-02-01,824,815.24,824,812.25,2251047,,,,,,,
GOOGL,2017-02-02,815,818.26,824.56,812.051,1689179,,,,,,,
GOOGL,2017-02-03,823.13,820.13,826.13,819.35,1528095,,,,,,,
GOOGL,2017-02-06,820.92,821.62,822.39,814.29,1350875,,,,,,,
GOOGL,2017-02-07,825.5,829.23,831.92,823.2926,1666605,,,,,,,
GOOGL,2017-02-08,830.53,829.88,834.25,825.11,1302225,,,,,,,
GOOGL,2017-02-09,831.73,830.06,831.98,826.5,1194238,,,,,,,
GOOGL,2017-02-10,832.95,834.85,837.15,830.51,1415128,,,,,,,
GOOGL,2017-02-13,837.7,838.96,841.735,836.246,1295708,,,,,,,
GOOGL,2017-02-14,839.77,840.03,842,835.83,1363345,,,,,,,
GOOGL,2017-02-15,838.81,837.32,841.7725,836.22,1357185,,,,,,,
GOOGL,2017-02-16,838.5,842.17,842.69,837.26,1005084,,,,,,,
GOOGL,2017-02-17,841.31,846.55,846.94,839.78,1461210,,,,,,,
GOOGL,2017-02-21,847.99,849.27,852.2,846.55,1261062,,,,,,,
GOOGL,2017-02-22,848,851.36,853.79,846.7101,1224889,,,,,,,
GOOGL,2017-02-23,851.08,851,852.62,842.5,1386681,,,,,,,
GOOGL,2017-02-24,847.65,847.81,848.36,842.9601,1346189,,,,,,,
GOOGL,2017-02-27,844.95,849.67,850.67,843.01,1010333,,,,,,,
GOOGL,2017-02-28,847.35,844.93,848.83,841.4422,1383119,,,,,,,
GOOGL,2017-03-01,851.38,856.75,858,849.02,1818671,,,,,,,
GOOGL,2017-03-02,856.31,849.85,856.49,848.72,1250938,,,,,,,
GOOGL,2017-03-03,848.94,849.08,850.82,844.705,1006612,,,,,,,
GOOGL,2017-03-06,846.86,847.27,848.94,841.17,1047872,,,,,,,
GOOGL,2017-03-07,847.26,851.15,853.33,845.52,1038696,,,,,,,
GOOGL,2017-03-08,853.12,853.64,856.93,851.25,1029834,,,,,,,
GOOGL,2017-03-09,853.69,857.84,860.71,852.67,1347697,,,,,,,
GOOGL,2017-03-10,862.7,861.405,864.229,857.61,1336585,,,,,,,
GOOGL,2017-03-13,860.83,864.58,867.13,860.82,1166605,,,,,,,
GOOGL,2017-03-14,863.75,865.91,867.58,860.13,1061692,,,,,,,
GOOGL,2017-03-15,867.94,868.39,869.88,861.295,1332885,,,,,,,
GOOGL,2017-03-16,870.53,870,872.71,867.52,1104452,,,,,,,
GOOGL,2017-03-17,873.68,872.37,874.42,868.37,1868252,,,,,,,
GOOGL,2017-03-20,869.48,867.91,870.34,864.665,1542199,,,,,,,
GOOGL,2017-03-21,870.06,850.14,873.47,847.687,2537978,,,,,,,
GOOGL,2017-03-22,849.48,849.8,855.35,847,1366749,,,,,,,
GOOGL,2017-03-23,841.39,839.65,841.69,833,3287669,,,,,,,
GOOGL,2017-03-24,842,835.14,844,829.1,2105682,,,,,,,
GOOGL,2017-03-27,828.09,838.51,841.38,824.3,1935211,,,,,,,
GOOGL,2017-03-28,839.69,840.63,845.4,832.265,1519202,,,,,,,
GOOGL,2017-03-29,842.75,849.87,851.585,841.38,1457347,,,,,,,
GOOGL,2017-03-30,851.98,849.48,852,846.77,949398,,,,,,,
GOOGL,2017-03-31,846.83,847.8,849.56,845.2445,1440982,,,,,,,
GOOGL,2017-04-03,848.75,856.75,859,847.5298,1969402,,,,,,,
GOOGL,2017-04-04,848,852.57,853,847.505,1348494,,,,,,,
GOOGL,2017-04-05,854.71,848.91,860.59,847.52,1855153,,,,,,,
GOOGL,2017-04-06,849.5,845.095,853.59,844,1533564,,,,,,,
GOOGL,2017-04-07,845,842.1,845.88,837.3,1110404,,,,,,,
GOOGL,2017-04-10,841.54,841.7,846.7372,840.79,1046215,,,,,,,
GOOGL,2017-04-11,841.7,839.88,844.63,834.6,974343,,,,,,,
GOOGL,2017-04-12,838.46,841.46,843.72,837.59,1135775,,,,,,,
GOOGL,2017-04-13,841.04,840.18,843.73,837.8503,1073650,,,,,,,
GOOGL,2017-04-17,841.38,855.13,855.64,841.03,1049125,,,,,,,
GOOGL,2017-04-18,852.54,853.99,857.39,851.25,936201,,,,,,,
GOOGL,2017-04-19,857.385,856.51,860.2,853.5275,1080336,,,,,,,
GOOGL,2017-04-20,859.74,860.08,863.93,857.5,1188843,,,,,,,
GOOGL,2017-04-21,860.62,858.95,862.44,857.73,1172870,,,,,,,
GOOGL,2017-04-24,868.44,878.93,879.96,866.11,1691896,,,,,,,
GOOGL,2017-04-25,882.26,888.84,892.25,879.2801,2020460,,,,,,,
GOOGL,2017-04-26,891.39,889.14,892.99,885.15,1302032,,,,,,,
GOOGL,2017-04-27,890,891.44,893.3774,887.18,1817740,,,,,,,
GOOGL,2017-04-28,929,924.52,935.9,923.22,3753169,,,,,,,
GOOGL,2017-05-01,924.15,932.82,935.82,920.8,2294856,,,,,,,
GOOGL,2017-05-02,933.27,937.09,942.985,931,1745453,,,,,,,
GOOGL,2017-05-03,936.05,948.45,950.2,935.21,1792847,,,,,,,
GOOGL,2017-05-04,950.29,954.72,959.14,947.37,1934652,,,,,,,
GOOGL,2017-05-05,956.72,950.28,958.4395,948.0986,1593898,,,,,,,
GOOGL,2017-05-08,947.45,958.69,960.99,947.395,1863198,,,,,,,
GOOGL,2017-05-09,961.33,956.71,962.2,954.4,1633396,,,,,,,
GOOGL,2017-05-10,956.22,954.84,956.71,949.84,1135809,,,,,,,
GOOGL,2017-05-11,951.29,955.89,957.99,948.61,1016797,,,,,,,
GOOGL,2017-05-12,957.85,955.14,957.98,952.06,1204133,,,,,,,
GOOGL,2017-05-15,955.29,959.22,962.7,952.82,1314574,,,,,,,
GOOGL,2017-05-16,963.55,964.61,965.8955,960.35,1069898,,,,,,,
GOOGL,2017-05-17,959.7,942.17,960.99,940.06,2414323,,,,,,,
GOOGL,2017-05-18,943.2,950.5,954.18,941.27,1758452,,,,,,,
GOOGL,2017-05-19,952.82,954.65,959.56,952,1327354,,,,,,,
GOOGL,2017-05-22,957,964.07,964.82,956.56,1305246,,,,,,,
GOOGL,2017-05-23,969.96,970.55,974.51,964.5,1529617,,,,,,,
GOOGL,2017-05-24,975.26,977.61,978.115,971.6299,1128880,,,,,,,
GOOGL,2017-05-25,979,991.86,995.78,977.82,1951402,,,,,,,
GOOGL,2017-05-26,992,993.27,996.39,987.36,1622807,,,,,,,
GOOGL,2017-05-30,992.5,996.17,997.62,991.3601,1511472,,,,,,,
GOOGL,2017-05-31,996.21,987.09,999.6,981.68,1703990,,,,,,,
GOOGL,2017-06-01,990.96,988.29,993.14,981.29,1295552,,,,,,,
GOOGL,2017-06-02,988.59,996.12,996.48,987.07,1719720,,,,,,,
GOOGL,2017-06-05,997.89,1003.88,1007.4,995.45,1353264,,,,,,,
GOOGL,2017-06-06,1003.31,996.68,1008.61,994.8,1517356,,,,,,,
GOOGL,2017-06-07,998.82,1001.59,1003.91,995.81,1348198,,,,,,,
GOOGL,2017-06-08,1004.23,1004.28,1005.6,996.62,1657881,,,,,,,
GOOGL,2017-06-09,1005.49,970.12,1005.5,953.37,3613964,,,,,,,
GOOGL,2017-06-12,958.72,961.81,968,936.795,4167184,,,,,,,
GOOGL,2017-06-13,972.04,970.5,977.91,962.01,1992456,,,,,,,
GOOGL,2017-06-14,975.5,967.93,979.7,959.5103,1489046,,,,,,,
GOOGL,2017-06-15,948.02,960.18,960.6775,940.37,2349212,,,,,,,
GOOGL,2017-06-16,957.91,958.62,959.95,948.7,2484914,,,,,,,
GOOGL,2017-06-19,969.65,975.22,979.3,968.2,1449343,,,,,,,
GOOGL,2017-06-20,975.31,968.99,980.79,968.2,1273013,,,,,,,
GOOGL,2017-06-21,970.79,978.59,979.67,969.16,1141315,,,,,,,
GOOGL,2017-06-22,976.87,976.62,980.5,973.3148,940086,,,,,,,
GOOGL,2017-06-23,975.5,986.09,986.62,974.46,1439728,,,,,,,
GOOGL,2017-06-26,990,972.09,993.99,970.33,1505655,,,,,,,
GOOGL,2017-06-27,961.6,948.09,967.22,947.09,2428048,,,,,,,
GOOGL,2017-06-28,950.66,961.01,963.24,936.16,2713366,,,,,,,
GOOGL,2017-06-29,951.35,937.82,951.66,929.6,3182331,,,,,,,
GOOGL,2017-06-30,943.99,929.68,944.9995,929.61,2185444,,,,,,,
MSFT,2017-01-03,62.79,62.58,62.84,62.125,20694101,,,,,,,
MSFT,2017-01-04,62.48,62.3,62.75,62.12,21339969,,,,,,,
MSFT,2017-01-05,62.19,62.3,62.66,62.03,24875968,,,,,,,
MSFT,2017-01-06,62.3,62.84,63.15,62.04,19922919,,,,,,,
MSFT,2017-01-09,62.76,62.64,63.08,62.54,20382730,,,,,,,
MSFT,2017-01-10,62.73,62.62,63.07,62.28,18593004,,,,,,,
MSFT,2017-01-11,62.61,63.19,63.23,62.43,21517335,,,,,,,
MSFT,2017-01-12,63.06,62.61,63.4,61.95,20968223,,,,,,,
MSFT,2017-01-13,62.62,62.7,62.865,62.35,19422310,,,,,,,
MSFT,2017-01-17,62.68,62.53,62.7,62.03,20663983,,,,,,,
MSFT,2017-01-18,62.67,62.5,62.7,62.12,19670102,,,,,,,
MSFT,2017-01-19,62.24,62.3,62.98,62.195,18451655,,,,,,,
MSFT,2017-01-20,62.67,62.74,62.82,62.37,30213462,,,,,,,
MSFT,2017-01-23,62.7,62.96,63.1159,62.57,23097581,,,,,,,
MSFT,2017-01-24,63.2,63.52,63.735,62.94,24672940,,,,,,,
MSFT,2017-01-25,63.95,63.68,64.1,63.45,24654933,,,,,,,
MSFT,2017-01-26,64.12,64.27,64.535,63.55,43554645,,,,,,,
MSFT,2017-01-27,65.39,65.78,65.91,64.89,44817972,,,,,,,
MSFT,2017-01-30,65.69,65.13,65.79,64.8,31651445,,,,,,,
MSFT,2017-01-31,64.86,64.65,65.15,64.26,25270549,,,,,,,
MSFT,2017-02-01,64.355,63.58,64.62,63.47,39671528,,,,,,,
MSFT,2017-02-02,63.25,63.17,63.41,62.75,45827013,,,,,,,
MSFT,2017-02-03,63.5,63.68,63.7,63.07,30301759,,,,,,,
MSFT,2017-02-06,63.5,63.64,63.65,63.14,19796360,,,,,,,
MSFT,2017-02-07,63.74,63.43,63.78,63.23,20277226,,,,,,,
MSFT,2017-02-08,63.57,63.34,63.81,63.22,18096358,,,,,,,
MSFT,2017-02-09,63.52,64.06,64.435,63.32,22644443,,,,,,,
MSFT,2017-02-10,64.25,64,64.3,63.975,18170729,,,,,,,
MSFT,2017-02-13,64.24,64.72,64.86,64.13,22920101,,,,,,,
MSFT,2017-02-14,64.41,64.57,64.72,64.02,23108426,,,,,,,
MSFT,2017-02-15,64.5,64.53,64.57,64.155,17005157,,,,,,,
MSFT,2017-02-16,64.74,64.52,65.24,64.44,20546345,,,,,,,
MSFT,2017-02-17,64.47,64.62,64.69,64.3,21248818,,,,,,,
MSFT,2017-02-21,64.61,64.49,64.95,64.45,20655869,,,,,,,
MSFT,2017-02-22,64.33,64.36,64.39,64.05,19292651,,,,,,,
MSFT,2017-02-23,64.42,64.62,64.7285,64.195,20273128,,,,,,,
MSFT,2017-02-24,64.53,64.62,64.8,64.135,21796800,,,,,,,
MSFT,2017-02-27,64.54,64.23,64.54,64.045,15871507,,,,,,,
MSFT,2017-02-28,64.08,63.98,64.2,63.76,23239825,,,,,,,
MSFT,2017-03-01,64.13,64.94,64.99,64.0218,26937459,,,,,,,
MSFT,2017-03-02,64.69,64.01,64.75,63.88,24539597,,,,,,,
MSFT,2017-03-03,63.99,64.25,64.28,63.62,18139405,,,,,,,
MSFT,2017-03-06,63.97,64.27,64.56,63.81,18750255,,,,,,,
MSFT,2017-03-07,64.19,64.4,64.775,64.19,18520987,,,,,,,
MSFT,2017-03-08,64.26,64.99,65.085,64.25,21510907,,,,,,,
MSFT,2017-03-09,65.19,64.73,65.2,64.48,19846832,,,,,,,
MSFT,2017-03-10,65.11,64.93,65.26,64.75,19538245,,,,,,,
MSFT,2017-03-13,65.01,64.71,65.195,64.57,20100035,,,,,,,
MSFT,2017-03-14,64.53,64.41,64.55,64.15,14280202,,,,,,,
MSFT,2017-03-15,64.55,64.75,64.92,64.25,24833810,,,,,,,
MSFT,2017-03-16,64.75,64.64,64.76,64.3,20674296,,,,,,,
MSFT,2017-03-17,64.91,64.87,65.24,64.68,49219686,,,,,,,
MSFT,2017-03-20,64.91,64.93,65.175,64.72,14598083,,,,,,,
MSFT,2017-03-21,65.19,64.21,65.5,64.13,26640480,,,,,,,
MSFT,2017-03-22,64.12,65.03,65.14,64.12,20680015,,,,,,,
MSFT,2017-03-23,64.94,64.87,65.235,64.765,19269203,,,,,,,
MSFT,2017-03-24,65.36,64.98,65.45,64.76,22617105,,,,,,,
MSFT,2017-03-27,64.63,65.1,65.22,64.35,18614662,,,,,,,
MSFT,2017-03-28,64.96,65.29,65.47,64.65,20080358,,,,,,,
MSFT,2017-03-29,65.12,65.47,65.5,64.9475,13618424,,,,,,,
MSFT,2017-03-30,65.42,65.71,65.98,65.36,15122823,,,,,,,
MSFT,2017-03-31,65.65,65.86,66.19,65.45,21040331,,,,,,,
MSFT,2017-04-03,65.81,65.55,65.94,65.19,20400871,,,,,,,
MSFT,2017-04-04,65.39,65.73,65.81,65.28,12997449,,,,,,,
MSFT,2017-04-05,66.3,65.56,66.35,65.4443,21448594,,,,,,,
MSFT,2017-04-06,65.6,65.73,66.055,65.48,18103453,,,,,,,
MSFT,2017-04-07,65.85,65.68,65.96,65.44,14089274,,,,,,,
MSFT,2017-04-10,65.61,65.53,65.82,65.36,17952742,,,,,,,
MSFT,2017-04-11,65.6,65.48,65.61,64.85,18791533,,,,,,,
MSFT,2017-04-12,65.42,65.23,65.51,65.11,17108513,,,,,,,
MSFT,2017-04-13,65.29,64.95,65.86,64.95,17896483,,,,,,,
MSFT,2017-04-17,65.04,65.48,65.49,65.01,16689265,,,,,,,
MSFT,2017-04-18,65.33,65.39,65.71,65.16,15155611,,,,,,,
MSFT,2017-04-19,65.65,65.04,65.75,64.89,26992771,,,,,,,
MSFT,2017-04-20,65.46,65.5,65.75,65.14,22299477,,,,,,,
MSFT,2017-04-21,65.67,66.4,66.7,65.45,32522645,,,,,,,
MSFT,2017-04-24,67.48,67.53,67.66,67.1,29721254,,,,,,,
MSFT,2017-04-25,67.9,67.92,68.04,67.6,29983174,,,,,,,
MSFT,2017-04-26,68.08,67.83,68.31,67.62,25544417,,,,,,,
MSFT,2017-04-27,68.15,68.27,68.38,67.58,32219234,,,,,,,
MSFT,2017-04-28,68.91,68.46,69.14,67.69,38940853,,,,,,,
MSFT,2017-05-01,68.68,69.41,69.55,68.5,31304672,,,,,,,
MSFT,2017-05-02,69.71,69.3,69.71,69.13,23000828,,,,,,,
MSFT,2017-05-03,69.38,69.08,69.38,68.71,28725646,,,,,,,
MSFT,2017-05-04,69.03,68.81,69.08,68.64,21421413,,,,,,,
MSFT,2017-05-05,68.9,69,69.03,68.485,18882845,,,,,,,
MSFT,2017-05-08,68.97,68.94,69.05,68.42,18446053,,,,,,,
MSFT,2017-05-09,68.86,69.04,69.28,68.68,22318181,,,,,,,
MSFT,2017-05-10,68.99,69.31,69.56,68.92,17842038,,,,,,,
MSFT,2017-05-11,68.36,68.46,68.73,68.12,27985424,,,,,,,
MSFT,2017-05-12,68.61,68.38,68.61,68.04,17073013,,,,,,,
MSFT,2017-05-15,68.14,68.43,68.48,67.57,30705323,,,,,,,
MSFT,2017-05-16,68.23,69.41,69.44,68.16,33250702,,,,,,,
